Year	ID_mesh	SPRCLASSE	Deforestation	Reforestation	Growth_Urban	Growth_Mining	Growth_Pasture	Growth_Agriculture	Forest	NonForest	Water	Others	Urban	Mining	Pasture	Agriculture
2013	26	Aquidauana	0	0	0	0	0	0	0	0	0	0.5598	0	0	0	0
2014	26	Aquidauana	0	0.0486	0	0	0	0	0.0486	0	0	0.5112	0	0	0	0
2015	26	Aquidauana	0	0.0036	0	0	0	0	0.0522	0	0	0.5076	0	0	0	0
2016	26	Aquidauana	0.0522	0	0	0	0	0	0	0	0	0.5598	0	0	0	0
2017	26	Aquidauana	0	0	0	0	0	0	0	0	0	0.5598	0	0	0	0
2018	26	Aquidauana	0	0	0	0	0	0	0	0	0	0.5598	0	0	0	0
2019	26	Aquidauana	0	0	0	0	0	0	0	0	0	0.5598	0	0	0	0
2020	26	Aquidauana	0	0	0	0	0	0	0	0	0	0.5598	0	0	0	0
2021	26	Aquidauana	0	0	0	0	0	0	0	0	0	0.5598	0	0	0	0
2022	26	Aquidauana	0	0	0	0	0	0	0	0	0	0.5598	0	0	0	0
2012	27	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6678	0	0	0	0
2013	27	Aquidauana	0	0	0	0	0	0	0	0	0	9.6678	0	0	0	0
2014	27	Aquidauana	0	0	0	0	0	0	0	0	0	9.6678	0	0	0	0
2015	27	Aquidauana	0	0.1458	0	0	0	0	0.1458	0	0	9.522	0	0	0	0
2016	27	Aquidauana	0	0.0702	0	0	0	0	0.216	0	0	9.4518	0	0	0	0
2017	27	Aquidauana	0.216	0	0	0	0	0	0	0	0	9.6678	0	0	0	0
2018	27	Aquidauana	0	0	0	0	0	0	0	0	0	9.6678	0	0	0	0
2019	27	Aquidauana	0	0	0	0	0	0	0	0	0	9.6678	0	0	0	0
2020	27	Aquidauana	0	0	0	0	0	0	0	0	0	9.6678	0	0	0	0
2021	27	Aquidauana	0	0	0	0	0	0	0	0	0	9.6678	0	0	0	0
2022	27	Aquidauana	0	0	0	0	0	0	0	0	0	9.6678	0	0	0	0
2012	28	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6138	0	0	0	0
2013	28	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2014	28	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2015	28	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2016	28	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2017	28	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
